"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br2 Bullet 1-1",0.341284656618497,317,1.28453135809354,1.65475110816046,150,125,8,20,8,6.03830870506838,7,"data-25-25/unkn1.RData",25,7,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-3",0.18711042372372,343,3.18858115019195,2.25361118975391,150,125,2,21,16,2.6437366809472,1,"data-25-25/unkn1.RData",39,15,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-6",0.255229708171961,361,0.920510004419413,1.39245156416899,100,125,4,24,10,4.01158967538183,3,"data-25-25/unkn1.RData",12,4,38,FALSE,25,0.00323624595469256,0.00333333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-4",0.238978186806103,223,0.670461472688973,1.25851006837427,150,125,6,18,9,3.62120048038433,2,"data-25-25/unkn1.RData",10,2,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-6",0.343786718268037,1,3.08087904724147,2.37234108511628,125,125,2,27,22,1.08897788956368,1,"data-25-25/unkn1.RData",48,16,38,FALSE,25,0.00323624595469256,0.0133333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-2",0.302026376653476,289,0.611736815300268,1.24861490150158,100,125,5,24,15,2.36681024283335,2,"data-25-25/unkn1.RData",2,2,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-5",0.287314170354444,289,1.39409105810682,1.79738193412589,100,125,7,23,10,7.40762687281831,4,"data-25-25/unkn1.RData",29,11,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-1",0.31779895180392,377,2.55158055279266,2.09997292451005,125,125,3,16,10,3.98066025898365,3,"data-25-25/unkn1.RData",85,31,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-6",0.258793945075379,83,1.69063024032523,1.79866393273072,125,125,3,25,13,3.75379927585297,2,"data-25-25/unkn1.RData",78,30,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-1",0.351600672609188,306,1.30390583603543,1.68593847974135,100,125,2,17,9,1.39977989586554,1,"data-25-25/unkn1.RData",1,1,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 1-6",0.288633700595242,86,1.50707113916833,1.67635582207045,150,125,3,19,8,1.45864239412472,1,"data-25-25/unkn1.RData",66,24,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-4",0.31143031231626,221,3.24172685636804,2.69192533329546,175,125,4,21,14,2.92016036191704,4,"data-25-25/unkn1.RData",16,58,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-1",0.210540424835415,328,1.76885288506636,1.84473118329379,175,125,9,25,6,7.48052466739539,3,"data-25-25/unkn1.RData",31,12,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
