"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","forest","bullet"
"Ukn Bullet B-1","Br7 Bullet 1-3",0.188786159649787,150,2.24887210297993,2.06131170673804,200,125,10,33,20,5.25350334931091,6,"data-15-25/unkn1.RData",87,33,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-5",0.287314170354395,289,1.39409105810691,1.79738193412591,100,125,5,31,21,6.33345452009427,4,"data-15-25/unkn1.RData",29,11,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-3",0.278198226673197,151,1.30962304962239,1.6256360469517,150,125,6,28,10,6.05861352990768,2,"data-15-25/unkn1.RData",99,45,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-4",0.158091401180415,25,2.59943602952826,2.03546088767141,125,125,1,36,31,0.955817639213535,1,"data-15-25/unkn1.RData",88,34,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-3",0.41817111311051,117,0.912851405840702,1.49984140899344,175,125,8,33,11,6.47393412275301,3,"data-15-25/unkn1.RData",45,13,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-5",0.204070590433492,146,2.58979318534669,2.49080871608751,175,125,4,28,22,7.37455022710273,2,"data-15-25/unkn1.RData",89,35,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-4",0.243772777443065,131,1.97928145488842,2.00453705046044,175,125,8,31,8,6.41810479785041,3,"data-15-25/unkn1.RData",100,46,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-1",0.263143398573673,157,3.34253340974692,2.49655752266015,175,125,10,24,9,13.6522194015197,3,"data-15-25/unkn1.RData",109,49,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-2",0.401224343788765,108,1.39631831770069,1.89648928386561,150,125,13,28,8,11.4686795036482,5,"data-15-25/unkn1.RData",26,8,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-1",0.460577706082789,37,0.439671610309846,1.178080989026,150,125,9,35,19,5.94794509249768,3,"data-15-25/unkn1.RData",91,36,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-5",0.227399228849198,136,4.17699468436287,2.87386999452667,125,125,3,25,8,1.74575900024487,1,"data-15-25/unkn1.RData",95,34,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-2",0.171534797276117,116,3.54585421069294,2.30659651964892,175,125,4,32,11,6.39866509044005,1,"data-15-25/unkn1.RData",8,6,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-5",0.309969268831471,243,4.3090043727555,2.63116019059062,125,125,4,32,20,3.63224545608919,3,"data-15-25/unkn1.RData",107,47,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-4",0.296355063328079,247,2.8428929865099,2.43457755902605,200,125,10,28,12,6.21200489068089,3,"data-15-25/unkn1.RData",28,10,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
