"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br3 Bullet 1-6",0.36954440051411,85,0.510508662329991,1.16118689397915,125,125,2,31,16,1.36476677806637,1,"data-20-25/unkn1.RData",42,18,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 2-6",0.305883564887655,211,1.5700283496182,1.7617176273432,125,125,4,26,13,4.23337544492007,2,"data-20-25/unkn1.RData",24,58,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 1-5",0.23131531476053,236,0.391440908572745,0.993620189957145,175,125,4,24,11,1.75201107271096,3,"data-20-25/unkn1.RData",65,23,38,FALSE,20,0.00468911188220951,0.00909090909090909
"Ukn Bullet B-1","Br6 Bullet 2-4",0.365538710065793,280,2.52228700552308,2.1150279579938,225,125,7,22,8,9.87465533715886,3,"data-20-25/unkn1.RData",82,25,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 1-4",0.271503502555532,393,1.0595379676394,1.46793062762387,125,125,3,23,19,3.9405595590941,3,"data-20-25/unkn1.RData",4,4,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 2-3",0.346403771243569,106,6.89737142702251,3.38755036618675,200,125,2,37,23,4.13535486384508,2,"data-20-25/unkn1.RData",9,1,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 1-6",0.232458653197431,7,2.08092361882163,2.11657214916184,100,125,1,22,13,0.300794323261485,1,"data-20-25/unkn1.RData",54,42,38,FALSE,20,0.00468911188220951,0.008
"Ukn Bullet B-1","Br4 Bullet 1-5",0.295755937586567,172,1.54455904864933,1.739536556255,100,125,3,27,13,3.65353922369873,1,"data-20-25/unkn1.RData",53,41,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 2-5",0.228186994851149,401,4.85305554106401,2.73496817192078,175,125,0,29,29,0,0,"data-20-25/unkn1.RData",47,15,38,FALSE,20,0.00468911188220951,0.0630630630630631
"Ukn Bullet B-1","Br5 Bullet 2-1",0.301339782738971,237,0.389236301926829,1.05853585730071,150,125,11,20,7,5.49155711996143,6,"data-20-25/unkn1.RData",67,23,38,FALSE,20,0.00468911188220951,0.0247933884297521
"Ukn Bullet B-1","Br7 Bullet 2-4",0.272118086232646,170,1.48440677935361,1.77376132032635,100,125,4,24,13,5.52214621898291,1,"data-20-25/unkn1.RData",94,33,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 2-2",0.300035862431472,99,1.6268435400765,1.74829223966762,125,125,3,22,20,2.16485069105423,3,"data-20-25/unkn1.RData",68,24,38,FALSE,20,0.00468911188220951,0
